2022-11-23 15:58:29,301 INFO    MainThread:9204 [wandb_setup.py:_flush():68] Configure stats pid to 9204
2022-11-23 15:58:29,302 INFO    MainThread:9204 [wandb_setup.py:_flush():68] Loading settings from C:\Users\SeongJae-Yoo\.config\wandb\settings
2022-11-23 15:58:29,302 INFO    MainThread:9204 [wandb_setup.py:_flush():68] Loading settings from C:\Users\SeongJae-Yoo\AI-InvestmentBot\wandb\settings
2022-11-23 15:58:29,302 INFO    MainThread:9204 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-23 15:58:29,302 INFO    MainThread:9204 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'demo.py', 'program': 'demo.py'}
2022-11-23 15:58:29,303 INFO    MainThread:9204 [wandb_init.py:_log_setup():476] Logging user logs to C:\Users\SeongJae-Yoo\AI-InvestmentBot\wandb\run-20221123_155829-199hovge\logs\debug.log
2022-11-23 15:58:29,303 INFO    MainThread:9204 [wandb_init.py:_log_setup():477] Logging internal logs to C:\Users\SeongJae-Yoo\AI-InvestmentBot\wandb\run-20221123_155829-199hovge\logs\debug-internal.log
2022-11-23 15:58:29,303 INFO    MainThread:9204 [wandb_init.py:init():516] calling init triggers
2022-11-23 15:58:29,303 INFO    MainThread:9204 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {}
2022-11-23 15:58:29,303 INFO    MainThread:9204 [wandb_init.py:init():569] starting backend
2022-11-23 15:58:29,303 INFO    MainThread:9204 [wandb_init.py:init():573] setting up manager
2022-11-23 15:58:29,312 INFO    MainThread:9204 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2022-11-23 15:58:29,325 INFO    MainThread:9204 [wandb_init.py:init():580] backend started and connected
2022-11-23 15:58:29,333 INFO    MainThread:9204 [wandb_init.py:init():658] updated telemetry
2022-11-23 15:58:29,459 INFO    MainThread:9204 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-11-23 15:58:30,058 INFO    MainThread:9204 [wandb_run.py:_on_init():2000] communicating current version
2022-11-23 15:58:30,219 INFO    MainThread:9204 [wandb_run.py:_on_init():2004] got version response 
2022-11-23 15:58:30,219 INFO    MainThread:9204 [wandb_init.py:init():728] starting run threads in backend
2022-11-23 15:58:35,244 INFO    MainThread:9204 [wandb_run.py:_console_start():1980] atexit reg
2022-11-23 15:58:35,244 INFO    MainThread:9204 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-23 15:58:35,245 INFO    MainThread:9204 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-23 15:58:35,245 INFO    MainThread:9204 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-23 15:58:35,245 INFO    MainThread:9204 [wandb_init.py:init():765] run started, returning control to user process
2022-11-23 17:11:16,214 WARNING MsgRouterThr:9204 [router.py:message_loop():77] message_loop has been closed
